Season;Week;Date;League;Players per Team;Location;Round Number;Match Number;Team;Position;Player;Player ID;Opponent;Score;Points;Input Data;Computed Data
25/26;1;2026-03-28;LL S;4;;1;0;Bavaria Unterföhring 1;3;Hoffmann Tobias;38576;BSC HighRoller Rosenheim 1;178;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;Gute Laune Lauf 1;0;Marcel Quecke;38732;RW Lichtenhof Stein 3;204;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;Gute Laune Lauf 1;0;Team Total;0;RW Lichtenhof Stein 3;655;0.0;False;True
25/26;1;2026-02-19;BZOL N2;4;;1;0;Gute Laune Lauf 1;1;Gisela Krämer;7753;RW Lichtenhof Stein 3;145;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;Gute Laune Lauf 1;2;Roland Augsdörfer;38549;RW Lichtenhof Stein 3;183;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;Gute Laune Lauf 1;3;Lucas Mahn;38800;RW Lichtenhof Stein 3;123;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;Kings Club Bayreuth Land 1;0;Max Bujdoso;7228;RW Lichtenhof Stein 2;225;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;Kings Club Bayreuth Land 1;0;Team Total;0;RW Lichtenhof Stein 2;758;3.0;False;True
25/26;1;2026-02-20;BZOL N1;4;;1;0;Kings Club Bayreuth Land 1;1;Patrick Hübner;25085;RW Lichtenhof Stein 2;189;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;Kings Club Bayreuth Land 1;2;Tobias Franke;38275;RW Lichtenhof Stein 2;189;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;Kings Club Bayreuth Land 1;3;Christian Schuster;7723;RW Lichtenhof Stein 2;155;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;Pfaffenhofen 1;0;Burghard Bettina;25173;BC EPA München 2;186;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;Pfaffenhofen 1;0;Team Total;0;BC EPA München 2;724;3.0;False;True
25/26;1;2026-03-30;LL S (D);4;;1;0;Pfaffenhofen 1;1;Mandl Yvonne;38416;BC EPA München 2;164;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;Pfaffenhofen 1;2;Linke Stefanie;16805;BC EPA München 2;160;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;Pfaffenhofen 1;3;Jencz Stefanie;7372;BC EPA München 2;214;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Pfaffenhofen 2;0;Faltermeier Robert;38472;Absolut Sports 2;177;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Pfaffenhofen 2;0;Team Total;0;Absolut Sports 2;720;3.0;False;True
25/26;1;2026-02-12;KL S1;4;;1;0;Pfaffenhofen 2;1;Zitzelsberger Gerhard;38951;Absolut Sports 2;171;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Pfaffenhofen 2;2;Herrmann Maximilian;38892;Absolut Sports 2;176;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Pfaffenhofen 2;3;Krois Franz;25351;Absolut Sports 2;196;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;RW Lichtenhof Stein 2;0;Paul Körber;7735;Kings Club Bayreuth Land 1;181;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;RW Lichtenhof Stein 2;0;Team Total;0;Kings Club Bayreuth Land 1;676;0.0;False;True
25/26;1;2026-02-20;BZOL N1;4;;1;0;RW Lichtenhof Stein 2;1;Manfred Rupertinger;16641;Kings Club Bayreuth Land 1;171;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;RW Lichtenhof Stein 2;2;Ralph Echtermeyer;7965;Kings Club Bayreuth Land 1;161;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;0;RW Lichtenhof Stein 2;3;Jürgen Stöhr;7738;Kings Club Bayreuth Land 1;163;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;RW Lichtenhof Stein 3;0;Manfred Boch;7746;Gute Laune Lauf 1;186;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;RW Lichtenhof Stein 3;0;Team Total;0;Gute Laune Lauf 1;799;3.0;False;True
25/26;1;2026-02-19;BZOL N2;4;;1;0;RW Lichtenhof Stein 3;1;Jörg Woyscheszik;25350;Gute Laune Lauf 1;204;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;RW Lichtenhof Stein 3;2;Lubomir Martisko;38616;Gute Laune Lauf 1;227;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;0;RW Lichtenhof Stein 3;3;John Mesch;7740;Gute Laune Lauf 1;182;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;BC Cat Bowl 1;0;Küchler Martin;25826;Falken Neu-Ulm 1;201;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC Cat Bowl 1;0;Winkler Janina;38743;BC EMAX 1;115;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;BC Cat Bowl 1;0;Team Total;0;Falken Neu-Ulm 1;727;0.0;False;True
25/26;1;2026-03-30;LL S (D);4;;1;1;BC Cat Bowl 1;0;Team Total;0;BC EMAX 1;572;0.0;False;True
25/26;1;2026-03-28;LL S;4;;1;1;BC Cat Bowl 1;1;Mattutat Uwe;38577;Falken Neu-Ulm 1;184;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC Cat Bowl 1;1;Bonnaire Liane;38677;BC EMAX 1;142;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;BC Cat Bowl 1;2;Weidlich René;25828;Falken Neu-Ulm 1;170;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC Cat Bowl 1;2;Seiler Susanne;3233;BC EMAX 1;158;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;BC Cat Bowl 1;3;Galuska Christian;25711;Falken Neu-Ulm 1;172;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC Cat Bowl 1;3;Anzinger Renata;38713;BC EMAX 1;157;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC EMAX 1;0;Kraus Laura;38868;BC Cat Bowl 1;151;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC EMAX 1;0;Team Total;0;BC Cat Bowl 1;597;3.0;False;True
25/26;1;2026-03-30;LL S (D);4;;1;1;BC EMAX 1;1;Berger Angela;38634;BC Cat Bowl 1;131;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC EMAX 1;2;Fröhlich Heidemarie;16713;BC Cat Bowl 1;154;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;1;BC EMAX 1;3;Mrosek Eva-Maria;7442;BC Cat Bowl 1;161;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;BC EMAX 6;0;Fliegner Torsten;7418;LA Bowling Landshut 2;160;0.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;BC EMAX 6;0;Team Total;0;LA Bowling Landshut 2;556;0.0;False;True
25/26;1;2026-02-12;KL S1;4;;1;1;BC EMAX 6;1;Vogt Thomas;10903;LA Bowling Landshut 2;118;0.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;BC EMAX 6;2;Heiming Leopold;38950;LA Bowling Landshut 2;139;0.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;BC EMAX 6;3;Tucker Robin;38846;LA Bowling Landshut 2;139;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Donaubowler Regensburg 1;0;Christian Feller;16007;Schanzer Ingolstadt 1;154;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Donaubowler Regensburg 1;0;Team Total;0;Schanzer Ingolstadt 1;726;3.0;False;True
25/26;1;2026-02-15;BayL;4;;1;1;Donaubowler Regensburg 1;1;Dominik Seltmann;25604;Schanzer Ingolstadt 1;233;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Donaubowler Regensburg 1;2;Volkmar Hartfeil;7830;Schanzer Ingolstadt 1;170;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Donaubowler Regensburg 1;3;Marco Hürdler;25271;Schanzer Ingolstadt 1;169;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Donaubowler Regensburg 2;0;Tobias Schneider;25949;Eintracht Lauf 1;169;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Donaubowler Regensburg 2;0;Team Total;0;Eintracht Lauf 1;718;3.0;False;True
25/26;1;2026-02-20;BZOL N1;4;;1;1;Donaubowler Regensburg 2;1;Peter Holten;38763;Eintracht Lauf 1;200;0.5;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Donaubowler Regensburg 2;2;Vinh Duc Luu;25865;Eintracht Lauf 1;146;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Donaubowler Regensburg 2;3;Sebastian Radecker;38025;Eintracht Lauf 1;203;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Eintracht Lauf 1;0;Mirko Lucic;38711;Donaubowler Regensburg 2;170;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Eintracht Lauf 1;0;Team Total;0;Donaubowler Regensburg 2;715;0.0;False;True
25/26;1;2026-02-20;BZOL N1;4;;1;1;Eintracht Lauf 1;1;Asterios Fourkiotis;25555;Donaubowler Regensburg 2;200;0.5;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Eintracht Lauf 1;2;Heiko Tontsch;38403;Donaubowler Regensburg 2;179;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;1;Eintracht Lauf 1;3;Juergen Chambless;16465;Donaubowler Regensburg 2;166;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;Falken Neu-Ulm 1;0;Gehweiler Manuel;7587;BC Cat Bowl 1;178;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;Falken Neu-Ulm 1;0;Team Total;0;BC Cat Bowl 1;754;3.0;False;True
25/26;1;2026-03-28;LL S;4;;1;1;Falken Neu-Ulm 1;1;Eggl Harald;25229;BC Cat Bowl 1;227;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;Falken Neu-Ulm 1;2;Baumann Daniel;16051;BC Cat Bowl 1;145;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;1;Falken Neu-Ulm 1;3;Baumann Timo;16024;BC Cat Bowl 1;204;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;LA Bowling Landshut 2;0;Wunder Jörg;38641;BC EMAX 6;215;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;LA Bowling Landshut 2;0;Team Total;0;BC EMAX 6;722;3.0;False;True
25/26;1;2026-02-12;KL S1;4;;1;1;LA Bowling Landshut 2;1;Heumos Roland;38388;BC EMAX 6;147;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;LA Bowling Landshut 2;2;Ruppert Michael;38887;BC EMAX 6;193;1.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;1;LA Bowling Landshut 2;3;Kirschke Dirk;16876;BC EMAX 6;167;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;1;Mainauenbowler Bayreuth Land 4;0;Zahiri Alireza;38509;Strikers Geldersheim 5;161;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;1;Mainauenbowler Bayreuth Land 4;0;Team Total;0;Strikers Geldersheim 5;598;3.0;False;True
25/26;1;2026-02-24;KL N2;4;;1;1;Mainauenbowler Bayreuth Land 4;1;Leuschner Nico;38984;Strikers Geldersheim 5;118;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;1;Mainauenbowler Bayreuth Land 4;2;Sommerer Stefan;38823;Strikers Geldersheim 5;168;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;1;Mainauenbowler Bayreuth Land 4;3;Eichner Karl;7586;Strikers Geldersheim 5;151;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Mainfranken Bamberg 2;0;Erich Forche;38322;Phönix Lauf 2;127;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Mainfranken Bamberg 2;0;Team Total;0;Phönix Lauf 2;683;3.0;False;True
25/26;1;2026-02-19;BZOL N2;4;;1;1;Mainfranken Bamberg 2;1;Harald Brehm;25945;Phönix Lauf 2;172;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Mainfranken Bamberg 2;2;Jutta Schmitt;10706;Phönix Lauf 2;190;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Mainfranken Bamberg 2;3;Nadja Seidlein;38173;Phönix Lauf 2;194;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Phönix Lauf 2;0;Manfred Rupprecht;38640;Mainfranken Bamberg 2;204;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Phönix Lauf 2;0;Team Total;0;Mainfranken Bamberg 2;670;0.0;False;True
25/26;1;2026-02-19;BZOL N2;4;;1;1;Phönix Lauf 2;1;Roswitha Schulz-Burkert;25347;Mainfranken Bamberg 2;141;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Phönix Lauf 2;2;Aaron Schlemmer;38977;Mainfranken Bamberg 2;129;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;1;Phönix Lauf 2;3;Dieter Schuster;7721;Mainfranken Bamberg 2;196;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Schanzer Ingolstadt 1;0;Oliver Schütze;38550;Donaubowler Regensburg 1;195;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Schanzer Ingolstadt 1;0;Team Total;0;Donaubowler Regensburg 1;645;0.0;False;True
25/26;1;2026-02-15;BayL;4;;1;1;Schanzer Ingolstadt 1;1;Thomas Hartl;38411;Donaubowler Regensburg 1;179;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Schanzer Ingolstadt 1;2;Sebastian Tesinski;38569;Donaubowler Regensburg 1;105;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;1;Schanzer Ingolstadt 1;3;Markus Schmied;38361;Donaubowler Regensburg 1;166;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Absolut Sports 1;0;Thurner Patrick;38530;Murmels N-U 1;193;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Absolut Sports 1;0;Team Total;0;Murmels N-U 1;815;3.0;False;True
25/26;1;2026-03-28;LL S;4;;1;2;Absolut Sports 1;1;Nahodyl Jakob;38659;Murmels N-U 1;212;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Absolut Sports 1;2;Nahodyl Valentin;38660;Murmels N-U 1;222;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Absolut Sports 1;3;Hanauer Florian;38001;Murmels N-U 1;188;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;BC Comet Nürnberg;0;Andreas Mittelmaier;16896;SG DJK Rimpar 1;180;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;BC Comet Nürnberg;0;Team Total;0;SG DJK Rimpar 1;784;3.0;False;True
25/26;1;2026-02-15;BayL;4;;1;2;BC Comet Nürnberg;1;Christian Schlick;7724;SG DJK Rimpar 1;225;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;BC Comet Nürnberg;2;Michael Schlundt;7725;SG DJK Rimpar 1;167;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;BC Comet Nürnberg;3;Jan Schwarz;7734;SG DJK Rimpar 1;212;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Castra Regina Regensburg 2;0;Steven Simon;38571;Mainauenbowler Bayreuth Land 2;200;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Castra Regina Regensburg 2;0;Team Total;0;Mainauenbowler Bayreuth Land 2;691;0.0;False;True
25/26;1;2026-02-20;BZOL N1;4;;1;2;Castra Regina Regensburg 2;1;Dennis Martin;38870;Mainauenbowler Bayreuth Land 2;152;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Castra Regina Regensburg 2;2;Kevin Einert;38144;Mainauenbowler Bayreuth Land 2;149;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Castra Regina Regensburg 2;3;Martin Humbs;38046;Mainauenbowler Bayreuth Land 2;190;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Flying Pins Erlangen 2;0;Klaus Maier;25044;Räumkomando Lauf 2;155;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Flying Pins Erlangen 2;0;Team Total;0;Räumkomando Lauf 2;654;0.0;False;True
25/26;1;2026-02-19;BZOL N2;4;;1;2;Flying Pins Erlangen 2;1;Patrick Stief;25973;Räumkomando Lauf 2;156;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Flying Pins Erlangen 2;2;Juri Meier;38683;Räumkomando Lauf 2;158;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Flying Pins Erlangen 2;3;Michael Brucksch;25761;Räumkomando Lauf 2;185;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;HighRoller Rosenheim 2;0;Weiss Luisa Samira;38773;Munich Mavericks 2;145;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;HighRoller Rosenheim 2;0;Team Total;0;Munich Mavericks 2;670;3.0;False;True
25/26;1;2026-03-30;LL S (D);4;;1;2;HighRoller Rosenheim 2;1;Appl Yvonne;38962;Munich Mavericks 2;149;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;HighRoller Rosenheim 2;2;Achhammer Klara;38760;Munich Mavericks 2;182;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;HighRoller Rosenheim 2;3;Witthinrich Jana;38355;Munich Mavericks 2;194;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Mainauenbowler Bayreuth Land 2;0;Detlef Semmling;16453;Castra Regina Regensburg 2;157;0.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Mainauenbowler Bayreuth Land 2;0;Team Total;0;Castra Regina Regensburg 2;754;3.0;False;True
25/26;1;2026-02-20;BZOL N1;4;;1;2;Mainauenbowler Bayreuth Land 2;1;Marina Weiske;7154;Castra Regina Regensburg 2;214;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Mainauenbowler Bayreuth Land 2;2;Anthony Fiochetta;7967;Castra Regina Regensburg 2;180;1.0;True;False
25/26;1;2026-02-20;BZOL N1;4;;1;2;Mainauenbowler Bayreuth Land 2;3;Wolfgang Hamfler;7747;Castra Regina Regensburg 2;203;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;Munich Mavericks 2;0;Hessling Heide;7541;HighRoller Rosenheim 2;202;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;Munich Mavericks 2;0;Team Total;0;HighRoller Rosenheim 2;602;0.0;False;True
25/26;1;2026-03-30;LL S (D);4;;1;2;Munich Mavericks 2;1;Kiening Kornelia;25277;HighRoller Rosenheim 2;134;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;Munich Mavericks 2;2;Tiefenböck Martha;7679;HighRoller Rosenheim 2;123;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;2;Munich Mavericks 2;3;Seydel Anja;7471;HighRoller Rosenheim 2;143;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Murmels N-U 1;0;Brandt Michael;38110;Absolut Sports 1;219;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Murmels N-U 1;0;Team Total;0;Absolut Sports 1;712;0.0;False;True
25/26;1;2026-03-28;LL S;4;;1;2;Murmels N-U 1;1;Köhler Luca;38665;Absolut Sports 1;167;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Murmels N-U 1;2;Schöllhorn Andreas;38568;Absolut Sports 1;157;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;2;Murmels N-U 1;3;Mücke Jochen;38842;Absolut Sports 1;169;0.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Räumkomando Lauf 2;0;Anna Vollmer;38299;Flying Pins Erlangen 2;168;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Räumkomando Lauf 2;0;Team Total;0;Flying Pins Erlangen 2;728;3.0;False;True
25/26;1;2026-02-19;BZOL N2;4;;1;2;Räumkomando Lauf 2;1;Andreas Kühlmann;38914;Flying Pins Erlangen 2;201;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Räumkomando Lauf 2;2;Nicolas Hoffmann;38935;Flying Pins Erlangen 2;168;1.0;True;False
25/26;1;2026-02-19;BZOL N2;4;;1;2;Räumkomando Lauf 2;3;Markus Brunner;25423;Flying Pins Erlangen 2;191;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;SG DJK Rimpar 1;0;Nico Plaschka;38039;BC Comet Nürnberg;167;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;SG DJK Rimpar 1;0;Team Total;0;BC Comet Nürnberg;725;0.0;False;True
25/26;1;2026-02-15;BayL;4;;1;2;SG DJK Rimpar 1;1;Sebastian Gräfe;38687;BC Comet Nürnberg;154;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;SG DJK Rimpar 1;2;Michael Kreß;10622;BC Comet Nürnberg;223;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;2;SG DJK Rimpar 1;3;Jan-Uwe Werder;16301;BC Comet Nürnberg;181;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;3;Active Bowler Brunnthal 1;0;Axmann Brigitte;25886;LA Bowling Landshut 1;204;1.0;True;False
