Season;Week;Datum;League Name;Spielort;Team Name;Name;EDV;Match Number;Team Name Opponent;Position;Pins
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Linus Singh;57074;3;Bamberg 44;1;200
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Arthur Jäger;52682;3;Bamberg 44;2;160
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Johannes Heil;37109;3;Bamberg 44;3;207
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Lars Wolf;79124;4;Passau 64;0;180
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Linus Singh;57074;4;Passau 64;1;196
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Arthur Jäger;52682;4;Passau 64;2;169
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Johannes Heil;37109;4;Passau 64;3;213
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Lukas Braun;10400;0;Bayreuth 41;0;190
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Jackson Lange;56853;0;Bayreuth 41;1;212
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Linus Jones;28835;0;Bayreuth 41;2;199
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Johannes Schwarz;38386;0;Bayreuth 41;3;194
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Lukas Braun;10400;1;Schweinfurt 45;0;201
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Jackson Lange;56853;1;Schweinfurt 45;1;247
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Linus Jones;28835;1;Schweinfurt 45;2;195
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Johannes Schwarz;38386;1;Schweinfurt 45;3;178
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Lukas Braun;10400;2;Passau 64;0;213
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Jackson Lange;56853;2;Passau 64;1;216
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Linus Jones;28835;2;Passau 64;2;192
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Johannes Schwarz;38386;2;Passau 64;3;191
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Lukas Braun;10400;3;Passau 85;0;213
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Jackson Lange;56853;3;Passau 85;1;229
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Linus Jones;28835;3;Passau 85;2;203
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Johannes Schwarz;38386;3;Passau 85;3;173
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Lukas Braun;10400;4;Bamberg 44;0;178
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Jackson Lange;56853;4;Bamberg 44;1;242
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Linus Jones;28835;4;Bamberg 44;2;184
22/23;0;n/a;LL1 Nord;Hof;Hof 31;Johannes Schwarz;38386;4;Bamberg 44;3;172
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Tom Klein;52038;0;Passau 85;0;188
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Alexander Hoffmann;67272;0;Passau 85;1;227
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Jakob Schmitt;42236;0;Passau 85;2;183
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Sven Jones;89133;0;Passau 85;3;209
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Tom Klein;52038;1;Bamberg 44;0;169
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Alexander Hoffmann;67272;1;Bamberg 44;1;195
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Jakob Schmitt;42236;1;Bamberg 44;2;221
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Sven Jones;89133;1;Bamberg 44;3;192
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Tom Klein;52038;2;Hof 31;0;174
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Alexander Hoffmann;67272;2;Hof 31;1;197
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Jakob Schmitt;42236;2;Hof 31;2;206
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Sven Jones;89133;2;Hof 31;3;213
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Tom Klein;52038;3;Schweinfurt 45;0;170
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Alexander Hoffmann;67272;3;Schweinfurt 45;1;199
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Jakob Schmitt;42236;3;Schweinfurt 45;2;194
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Sven Jones;89133;3;Schweinfurt 45;3;233
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Tom Klein;52038;4;Bayreuth 41;0;160
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Alexander Hoffmann;67272;4;Bayreuth 41;1;197
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Jakob Schmitt;42236;4;Bayreuth 41;2;208
22/23;0;n/a;LL1 Nord;Hof;Passau 64;Sven Jones;89133;4;Bayreuth 41;3;207
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Logan Böhm;27342;0;Passau 64;0;195
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Jan Miller;29485;0;Passau 64;1;211
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Eric Schröder;19332;0;Passau 64;2;184
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Konstantin Wagner;93770;0;Passau 64;3;164
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Logan Böhm;27342;1;Bayreuth 41;0;207
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Jan Miller;29485;1;Bayreuth 41;1;227
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Eric Schröder;19332;1;Bayreuth 41;2;183
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Konstantin Wagner;93770;1;Bayreuth 41;3;179
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Logan Böhm;27342;2;Bamberg 44;0;208
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Jan Miller;29485;2;Bamberg 44;1;239
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Eric Schröder;19332;2;Bamberg 44;2;188
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Konstantin Wagner;93770;2;Bamberg 44;3;135
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Logan Böhm;27342;3;Hof 31;0;224
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Jan Miller;29485;3;Hof 31;1;217
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Eric Schröder;19332;3;Hof 31;2;178
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Konstantin Wagner;93770;3;Hof 31;3;155
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Logan Böhm;27342;4;Schweinfurt 45;0;197
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Jan Miller;29485;4;Schweinfurt 45;1;231
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Eric Schröder;19332;4;Schweinfurt 45;2;201
22/23;0;n/a;LL1 Nord;Hof;Passau 85;Konstantin Wagner;93770;4;Schweinfurt 45;3;150
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Georg Kim;71437;0;Bamberg 44;0;180
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Mohammad Becker;15851;0;Bamberg 44;1;134
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Arthur Hoffmann;93186;0;Bamberg 44;2;179
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Finn Heil;37551;0;Bamberg 44;3;203
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Georg Kim;71437;1;Hof 31;0;211
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Mohammad Becker;15851;1;Hof 31;1;147
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Arthur Hoffmann;93186;1;Hof 31;2;142
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Finn Heil;37551;1;Hof 31;3;225
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Georg Kim;71437;2;Bayreuth 41;0;214
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Mohammad Becker;15851;2;Bayreuth 41;1;150
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Arthur Hoffmann;93186;2;Bayreuth 41;2;152
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Finn Heil;37551;2;Bayreuth 41;3;187
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Georg Kim;71437;3;Passau 64;0;174
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Mohammad Becker;15851;3;Passau 64;1;160
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Arthur Hoffmann;93186;3;Passau 64;2;158
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Finn Heil;37551;3;Passau 64;3;210
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Georg Kim;71437;4;Passau 85;0;196
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Mohammad Becker;15851;4;Passau 85;1;137
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Arthur Hoffmann;93186;4;Passau 85;2;176
22/23;0;n/a;LL1 Nord;Hof;Schweinfurt 45;Finn Heil;37551;4;Passau 85;3;225
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;James Jackson;95548;0;Schweinfurt 45;0;188
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Marco Jäger;96933;0;Schweinfurt 45;1;216
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Jan Krüger;92706;0;Schweinfurt 45;2;202
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Omar Anderson;45562;0;Schweinfurt 45;3;222
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;James Jackson;95548;1;Passau 64;0;170
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Marco Jäger;96933;1;Passau 64;1;229
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Jan Krüger;92706;1;Passau 64;2;222
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Omar Anderson;45562;1;Passau 64;3;217
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;James Jackson;95548;2;Passau 85;0;169
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Marco Jäger;96933;2;Passau 85;1;207
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Jan Krüger;92706;2;Passau 85;2;228
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Omar Anderson;45562;2;Passau 85;3;202
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;James Jackson;95548;3;Bayreuth 41;0;157
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Marco Jäger;96933;3;Bayreuth 41;1;210
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Jan Krüger;92706;3;Bayreuth 41;2;207
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Omar Anderson;45562;3;Bayreuth 41;3;214
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;James Jackson;95548;4;Hof 31;0;169
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Marco Jäger;96933;4;Hof 31;1;222
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Jan Krüger;92706;4;Hof 31;2;209
22/23;1;n/a;LL1 Nord;Bayreuth;Bamberg 44;Omar Anderson;45562;4;Hof 31;3;247
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Lars Wolf;79124;0;Hof 31;0;175
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Linus Singh;57074;0;Hof 31;1;180
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Arthur Jäger;52682;0;Hof 31;2;161
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Johannes Heil;37109;0;Hof 31;3;168
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Lars Wolf;79124;1;Passau 85;0;155
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Linus Singh;57074;1;Passau 85;1;177
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Arthur Jäger;52682;1;Passau 85;2;156
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Johannes Heil;37109;1;Passau 85;3;181
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Lars Wolf;79124;2;Schweinfurt 45;0;172
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Linus Singh;57074;2;Schweinfurt 45;1;197
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Arthur Jäger;52682;2;Schweinfurt 45;2;135
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Johannes Heil;37109;2;Schweinfurt 45;3;165
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Lars Wolf;79124;3;Bamberg 44;0;172
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Linus Singh;57074;3;Bamberg 44;1;199
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Arthur Jäger;52682;3;Bamberg 44;2;140
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Johannes Heil;37109;3;Bamberg 44;3;209
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Lars Wolf;79124;4;Passau 64;0;185
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Linus Singh;57074;4;Passau 64;1;201
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Arthur Jäger;52682;4;Passau 64;2;131
22/23;1;n/a;LL1 Nord;Bayreuth;Bayreuth 41;Johannes Heil;37109;4;Passau 64;3;170
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Lukas Braun;10400;0;Bayreuth 41;0;209
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Jackson Lange;56853;0;Bayreuth 41;1;224
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Linus Jones;28835;0;Bayreuth 41;2;180
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Johannes Schwarz;38386;0;Bayreuth 41;3;169
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Lukas Braun;10400;1;Schweinfurt 45;0;191
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Jackson Lange;56853;1;Schweinfurt 45;1;204
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Linus Jones;28835;1;Schweinfurt 45;2;199
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Johannes Schwarz;38386;1;Schweinfurt 45;3;150
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Lukas Braun;10400;2;Passau 64;0;181
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Jackson Lange;56853;2;Passau 64;1;205
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Linus Jones;28835;2;Passau 64;2;206
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Johannes Schwarz;38386;2;Passau 64;3;175
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Lukas Braun;10400;3;Passau 85;0;193
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Jackson Lange;56853;3;Passau 85;1;218
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Linus Jones;28835;3;Passau 85;2;187
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Johannes Schwarz;38386;3;Passau 85;3;190
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Lukas Braun;10400;4;Bamberg 44;0;198
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Jackson Lange;56853;4;Bamberg 44;1;210
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Linus Jones;28835;4;Bamberg 44;2;172
22/23;1;n/a;LL1 Nord;Bayreuth;Hof 31;Johannes Schwarz;38386;4;Bamberg 44;3;176
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Tom Klein;52038;0;Passau 85;0;145
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Alexander Hoffmann;67272;0;Passau 85;1;192
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Jakob Schmitt;42236;0;Passau 85;2;215
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Sven Jones;89133;0;Passau 85;3;213
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Tom Klein;52038;1;Bamberg 44;0;143
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Alexander Hoffmann;67272;1;Bamberg 44;1;196
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Jakob Schmitt;42236;1;Bamberg 44;2;186
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Sven Jones;89133;1;Bamberg 44;3;233
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Tom Klein;52038;2;Hof 31;0;176
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Alexander Hoffmann;67272;2;Hof 31;1;228
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Jakob Schmitt;42236;2;Hof 31;2;195
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Sven Jones;89133;2;Hof 31;3;232
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Tom Klein;52038;3;Schweinfurt 45;0;182
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Alexander Hoffmann;67272;3;Schweinfurt 45;1;231
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Jakob Schmitt;42236;3;Schweinfurt 45;2;206
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Sven Jones;89133;3;Schweinfurt 45;3;194
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Tom Klein;52038;4;Bayreuth 41;0;169
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Alexander Hoffmann;67272;4;Bayreuth 41;1;212
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Jakob Schmitt;42236;4;Bayreuth 41;2;179
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 64;Sven Jones;89133;4;Bayreuth 41;3;212
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Logan Böhm;27342;0;Passau 64;0;206
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Jan Miller;29485;0;Passau 64;1;226
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Eric Schröder;19332;0;Passau 64;2;189
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Konstantin Wagner;93770;0;Passau 64;3;167
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Logan Böhm;27342;1;Bayreuth 41;0;185
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Jan Miller;29485;1;Bayreuth 41;1;240
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Eric Schröder;19332;1;Bayreuth 41;2;214
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Konstantin Wagner;93770;1;Bayreuth 41;3;155
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Logan Böhm;27342;2;Bamberg 44;0;216
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Jan Miller;29485;2;Bamberg 44;1;222
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Eric Schröder;19332;2;Bamberg 44;2;201
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Konstantin Wagner;93770;2;Bamberg 44;3;143
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Logan Böhm;27342;3;Hof 31;0;214
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Jan Miller;29485;3;Hof 31;1;202
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Eric Schröder;19332;3;Hof 31;2;217
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Konstantin Wagner;93770;3;Hof 31;3;169
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Logan Böhm;27342;4;Schweinfurt 45;0;219
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Jan Miller;29485;4;Schweinfurt 45;1;230
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Eric Schröder;19332;4;Schweinfurt 45;2;210
22/23;1;n/a;LL1 Nord;Bayreuth;Passau 85;Konstantin Wagner;93770;4;Schweinfurt 45;3;136
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Georg Kim;71437;0;Bamberg 44;0;190
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Mohammad Becker;15851;0;Bamberg 44;1;164
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Arthur Hoffmann;93186;0;Bamberg 44;2;168
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Finn Heil;37551;0;Bamberg 44;3;195
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Georg Kim;71437;1;Hof 31;0;182
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Mohammad Becker;15851;1;Hof 31;1;170
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Arthur Hoffmann;93186;1;Hof 31;2;132
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Finn Heil;37551;1;Hof 31;3;199
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Georg Kim;71437;2;Bayreuth 41;0;179
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Mohammad Becker;15851;2;Bayreuth 41;1;160
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Arthur Hoffmann;93186;2;Bayreuth 41;2;164
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Finn Heil;37551;2;Bayreuth 41;3;194
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Georg Kim;71437;3;Passau 64;0;190
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Mohammad Becker;15851;3;Passau 64;1;156
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Arthur Hoffmann;93186;3;Passau 64;2;169
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Finn Heil;37551;3;Passau 64;3;196
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Georg Kim;71437;4;Passau 85;0;190
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Mohammad Becker;15851;4;Passau 85;1;176
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Arthur Hoffmann;93186;4;Passau 85;2;132
22/23;1;n/a;LL1 Nord;Bayreuth;Schweinfurt 45;Finn Heil;37551;4;Passau 85;3;201
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;James Jackson;95548;0;Schweinfurt 45;0;174
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;Marco Jäger;96933;0;Schweinfurt 45;1;211
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;Jan Krüger;92706;0;Schweinfurt 45;2;232
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;Omar Anderson;45562;0;Schweinfurt 45;3;247
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;James Jackson;95548;1;Passau 64;0;161
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;Marco Jäger;96933;1;Passau 64;1;205
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;Jan Krüger;92706;1;Passau 64;2;232
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;Omar Anderson;45562;1;Passau 64;3;217
22/23;2;n/a;LL1 Nord;Passau;Bamberg 44;James Jackson;95548;2;Passau 85;0;179
